class,time_flag,demand_cnt_his,supply_cnt_his
0.0,0,8.166667,6.5416669999999995
0.0,1,7.0833330000000005,5.75
0.0,2,5.0,3.958333
0.0,3,4.2916669999999995,2.958333
0.0,4,2.0,1.125
0.0,5,1.291667,0.666667
0.0,6,0.791667,0.375
0.0,7,2.041667,0.833333
0.0,8,1.75,0.791667
0.0,9,1.375,0.666667
0.0,10,2.708333,1.375
0.0,11,2.333333,1.875
0.0,12,3.25,2.541667
0.0,13,3.958333,2.791667
0.0,14,5.4166669999999995,5.7291669999999995
0.0,15,8.625,8.708333
0.0,16,14.458332999999998,15.125
0.0,17,15.666667000000002,16.225
0.0,18,15.5,16.591667
0.0,19,14.375,15.079167000000002
0.0,20,14.208332999999998,14.941667
0.0,21,16.458333,17.7375
0.0,22,16.041667,17.325
0.0,23,15.0,16.270833
0.0,24,19.583333,20.808332999999998
0.0,25,17.875,19.066667000000002
0.0,26,23.75,25.1625
0.0,27,22.791667,24.154167
0.0,28,22.666667,24.245832999999998
0.0,29,21.625,22.779167
0.0,30,21.166667,23.054167
0.0,31,22.666667,24.291667
0.0,32,21.75,22.779167
0.0,33,23.333333,25.025
0.0,34,22.666667,23.833333
0.0,35,25.125,26.2625
0.0,36,27.958333000000003,29.516666999999998
0.0,37,19.625,20.716667
0.0,38,19.375,20.4875
0.0,39,18.583333,19.066667000000002
0.0,40,16.666667,17.370832999999998
0.0,41,18.25,18.379167000000002
0.0,42,16.166667,16.591667
0.0,43,12.75,11.333333
0.0,44,16.916667,15.0
0.0,45,13.291667000000002,11.541667
0.0,46,10.666667,8.916667
0.0,47,10.333333,8.625
1.0,0,1.166667,0.416667
1.0,1,1.5,0.458333
1.0,2,1.041667,0.208333
1.0,3,0.541667,0.166667
1.0,4,0.666667,0.125
1.0,5,0.25,0.083333
1.0,6,0.458333,0.125
1.0,7,0.333333,0.041667
1.0,8,0.291667,0.0
1.0,9,0.041667,0.0
1.0,10,0.375,0.0
1.0,11,0.041667,0.0
1.0,12,0.5,0.291667
1.0,13,0.791667,0.458333
1.0,14,2.5,2.041667
1.0,15,4.125,4.3541669999999995
1.0,16,7.8333330000000005,8.204167
1.0,17,7.625,8.158333
1.0,18,7.6666669999999995,8.158333
1.0,19,5.7083330000000005,6.279167
1.0,20,6.375,6.783333
1.0,21,6.75,7.241667
1.0,22,6.625,7.058333
1.0,23,7.3333330000000005,7.975
1.0,24,6.2916669999999995,6.554167
1.0,25,8.416667,9.075
1.0,26,8.791667,9.2125
1.0,27,8.75,9.35
1.0,28,8.291667,8.9375
1.0,29,6.9166669999999995,7.5625
1.0,30,7.2083330000000005,7.5625
1.0,31,7.2916669999999995,7.8375
1.0,32,7.0,7.425
1.0,33,7.0,7.654167
1.0,34,6.5,6.875
1.0,35,6.4166669999999995,6.691667
1.0,36,7.2083330000000005,7.5625
1.0,37,5.625,6.095833
1.0,38,5.375,4.7083330000000005
1.0,39,5.0833330000000005,5.0416669999999995
1.0,40,4.8333330000000005,4.0833330000000005
1.0,41,5.9166669999999995,4.9583330000000005
1.0,42,4.0,3.5
1.0,43,3.791667,2.75
1.0,44,3.541667,2.208333
1.0,45,3.041667,1.833333
1.0,46,2.958333,1.458333
1.0,47,1.916667,1.166667
2.0,0,2.041667,0.875
2.0,1,0.791667,0.333333
2.0,2,0.791667,0.333333
2.0,3,0.958333,0.333333
2.0,4,0.416667,0.208333
2.0,5,0.541667,0.208333
2.0,6,0.541667,0.041667
2.0,7,0.416667,0.083333
2.0,8,0.333333,0.125
2.0,9,0.541667,0.208333
2.0,10,0.208333,0.041667
2.0,11,0.458333,0.125
2.0,12,0.916667,0.416667
2.0,13,1.791667,1.375
2.0,14,3.5,3.575
2.0,15,5.7916669999999995,5.125
2.0,16,11.458333,11.9625
2.0,17,12.583333,13.291667000000002
2.0,18,9.75,10.3125
2.0,19,8.75,9.441667
2.0,20,8.333333,8.754167
2.0,21,8.5,9.120833
2.0,22,7.2916669999999995,7.425
2.0,23,7.0416669999999995,7.379167
2.0,24,7.5833330000000005,7.929167
2.0,25,8.166667,8.845833
2.0,26,10.541667,11.275
2.0,27,11.166667,11.9625
2.0,28,10.083333,10.770833
2.0,29,10.291667,10.633333
2.0,30,9.666667,10.45
2.0,31,8.791667,9.166667
2.0,32,8.458333,8.983333
2.0,33,8.083333,8.525
2.0,34,8.958333,9.395833
2.0,35,9.458333,9.945833
2.0,36,7.375,7.745833
2.0,37,6.25,6.7375
2.0,38,6.6666669999999995,7.0125
