?.,city,city.l,city_chinese,GDP,"Population(10,000)"
1,Wuhan,wuhan,??,13.63024539,1089.29
2,Xiaogan,xiaogan,??,3.88800813,492
3,Huanggang,huanggang,??,3.215165877,633
4,Jingzhou,jingzhou,??,3.724696791,559.02
5,Ezhou,ezhou,??,9.328198942,107.77
6,Suizhou,suizhou,??,4.561690802,221.67
7,Xiangyang,xiangyang,??,7.602381372,566.9
8,Huangshi,huangshi,??,6.424616505,247.07
9,Yichang,yichang,??,9.827304381,413.56
10,Jingmen,jingmen,??,6.379734162,289.65
11,Xianning,xianning,??,5.374225869,253.51
12,Shiyan,shiyan,??,5.11357519,341.8
13,Xiantao,xiantao,??,5.180511492,154.45
14,Enshi,enshi,???,2.591341863,336.115
15,Qianjiang,qianjiang,??,7.823809524,96.6
16,Beijing,beijing,??,14.0748,2153.6
17,Tianjin,tianjin,??,12.0606,1559.6
18,Shanghai,shanghai,??,13.483,2423.78
19,Chongqing,chongqing,??,6.565,3124.32
20,Hefei,hefei,??,4.7452,808.7
21,Bengbu,bengbu,??,4.7452,339.2
22,Fuyang,fuyang,??,4.7452,825.9
23,Bozhou,bozhou,??,4.7452,523.7
24,Fuzhou.f,fuzhou.f,??,9.085,780
25,Shenzhen,shenzhen,??,8.5738,1302.66
26,Guangzhou,guangzhou,??,8.5738,1490.44
27,Xinyang,xinyang,??,5.0032,647.41
28,Zhengzhou,zhengzhou,??,5.0032,1013.6
29,Nanyang,nanyang,??,5.0032,1001.36
30,Zhumadian,zhumadian,???,5.0032,619.02
31,Qiqihar,qiqihar,????,4.3364,504.87
32,Harbin,harbin,???,4.3364,1085.8
33,Changsha,changsha,??,5.28,815.47
34,Nanjing,nanjing,??,11.5015,843.62
35,Suzhou,suzhou,??,11.5015,1074.99
36,Xuzhou,xuzhou,??,11.5015,880.2
37,Nanchang,nanchang,??,4.7304,554.55
38,Xinyu,xinyu,??,4.7304,118.67
39,Shangrao,shangrao,??,4.7304,681.07
40,Jiujiang,jiujiang,??,4.7304,489.68
41,Yichun,yichun,??,4.7304,557.32
42,Ganzhou,ganzhou,??,4.7304,865.65
43,Fuzhou.j,fuzhou.j,??,4.7304,404.72
44,Jinan,jinan,??,7.611,883.94
45,Xi.an,xi.an,??,6.324,1000.37
46,Chengdu,chengdu,??,4.8769,1633
47,Wenzhou,wenzhou,??,9.7956,930
48,Hangzhou,hangzhou,??,9.7956,980.6
49,Ningbo,ningbo,??,9.7956,854.2
50,Taizhou,taizhou,??,9.7956,613.9
