,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
,省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,,,,,安徽省,安徽省,安徽省,安徽省,福建省,广东省,广东省,河南省,河南省,河南省,河南省,黑龙江省,黑龙江省,湖南省,江苏省,江苏省,江苏省,江西省,江西省,江西省,江西省,江西省,江西省,江西省,山东省,陕西省,四川省,浙江省,浙江省,浙江省,浙江省
,City,武汉,孝感,黄冈,荆州,鄂州,随州,襄阳,黄石,宜昌,荆门,咸宁,十堰,仙桃,恩施州,潜江,北京,天津,上海,重庆,合肥,蚌埠,阜阳,亳州,福州,深圳,广州,信阳,郑州,南阳,驻马店,齐齐哈尔,哈尔滨,长沙,南京,苏州,徐州,南昌,新余,上饶,九江,宜春,赣州,抚州,济南,西安,成都,温州,杭州,宁波,台州
,date,wuhan,xiaogan,huanggang,jingzhou,ezhou,suizhou,xiangyang,huangshi,yichang,jingmen,xianning,shiyan,xiantao,enshi,qianjiang,beijing,tianjin,shanghai,chongqing,hefei,bengbu,fuyang,bozhou,fuzhou.f,shenzhen,guangzhou,xinyang,zhengzhou,nanyang,zhumadian,qiqihar,harbin,changsha,nanjing,suzhou,xuzhou,nanchang,xinyu,shangrao,jiujiang,yichun,ganzhou,fuzhou.j,jinan,xi.an,chengdu,wenzhou,hangzhou,ningbo,taizhou
,date,Wuhan,Xiaogan,Huanggang,Jingzhou,Ezhou,Suizhou,Xiangyang,Huangshi,Yichang,Jingmen,Xianning,Shiyan,Xiantao,Enshi,Qianjiang,Beijing,Tianjin,Shanghai,Chongqing,Hefei,Bengbu,Fuyang,Bozhou,Fuzhou.f,Shenzhen,Guangzhou,Xinyang,Zhengzhou,Nanyang,Zhumadian,Qiqihar,Harbin,Changsha,Nanjing,Suzhou,Xuzhou,Nanchang,Xinyu,Shangrao,Jiujiang,Yichun,Ganzhou,Fuzhou.j,Jinan,Xi.an,Chengdu,Wenzhou,Hangzhou,Ningbo,Taizhou
1,1/24/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2,1/25/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1/26/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1/27/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1/28/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1/29/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1/30/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
