"cities" "ratio"
"1" "wuhan" "0.240255228161398"
"2" "xiaogan" "0.157966730822508"
"3" "huanggang" "0.185882611133415"
"4" "jingzhou" "0.16056857283589"
"5" "ezhou" "0.164082328237185"
"6" "suizhou" "0.2028433672041"
"7" "xiangyang" "0.276491189668007"
"8" "huang" "0.187877237713215"
"9" "yichang" "0.324055489961954"
"10" "jingmen" "0.121955535175069"
"11" "xianning" "0.266646011013538"
"12" "shiyan" "0.348702502965113"
"13" "xiantao" "0.181937048114072"
"14" "enshi" "0.206345125248659"
"15" "qianjiang" "0.110153508118602"
"16" "beijing" "0.121033920245858"
"17" "tianjin" "0.427406472272219"
"18" "shangha" "-0.0742645272269434"
"19" "chongqing" "0.485670725125621"
"20" "hefe" "0.679762944116995"
"21" "bengbu" "0.704900149458114"
"22" "fuyang" "0.574457145856315"
"23" "bozhou" "0.455291237812479"
"24" "fuzhou_x" "0.569155416828402"
"25" "shenzhen" "0.658888539899816"
"26" "guangzhou" "0.606613963283034"
"27" "xinyang" "-0.0890843133182227"
"28" "zhengzhou" "0.49607732862332"
"29" "nanyang" "0.195636161173714"
"30" "zhumadian" "-0.0830676812416622"
"31" "qiqihaer" "0.815194204872916"
"32" "haerbin" "0.760742686621462"
"33" "changsha" "-0.368266118998369"
"34" "nanjing" "0.674439899507897"
"35" "suzhou" "0.617775250132307"
"36" "xuzhou" "0.642116096208381"
"37" "nanchang" "0.657770004046794"
"38" "xinyu" "0.664787169809585"
"39" "shangrao" "0.380867644981459"
"40" "jiujiang" "0.519763952339549"
"41" "yichun" "0.460537137192048"
"42" "ganzhou" "0.425342655026259"
"43" "fuzhou_y" "0.43730714206815"
"44" "jinan" "-0.0488034882327169"
"45" "xian" "0.764185063670873"
"46" "chengdu" "0.721792622287297"
"47" "wenzhou" "0.596973914885997"
"48" "hangzhou" "0.5128352495359"
"49" "ningbo" "0.50876846039676"
"50" "taizhou" "0.481920186283681"
